Annotation Id, Left Context, Derge, Chone, Narthang, Peking, Right Context, Decision, Method
f8d5252d818a417890a8a2b7649b4301,༄༅༅། །རྒྱ་གར་སྐད་དུ།, ཤིཀྵ་, ཤིཀྵ་,ཤཀྵ་,ཤཀྵ་,ས་མུཙྪ་ཡཿ བོད་སྐད་དུ, ཤིཀྵ་,SANSKRIT/
452c5c2e50ac4417be01d768e235507f,སྐད་དུ། ཤིཀྵ་ས་མུཙྪ་,ཡཿ,ཡཿ,ཡ།,ཡ།, བོད་སྐད་དུ། བསླབ་པ་,ཡཿ,SANSKRIT/
1d818b5748524f18a90967ba9c195677,་གུས་པར་ཕྱག་འཚལ་ཏེ། ,བདེ་གཤེགས་,བདེ་གཤེགས་,བདེར་གཤེགས་,བདེར་གཤེགས་,སྲས་ཀྱི་སྡོམ་ལ་འཇུག་,བདེ་གཤེགས་,SIMILAR/
c0fd5376567a48af976bea0d97af923b,ས་བརྗོད་པར་བྱ། །སྔོན,ཆད་མ་,ཆད་མ་,ཆོད་མ་,ཆད་མ་,བྱུང་ཅི་ཡང་འདིར་བརྗོ,ཆད་མ་,OUTLIER/
2a311b317f5a4bf291823a6814f24267,ཡང་རྙེད་པར་དཀའ། མིའི,འཇིག་རྟེན་ན་,འཇིག་རྟེན་ན་,འཇིག་རྟེན་ན་,འཇིག་རྟེན་,ཆོས་དང་རྗེས་སུ་མཐུན་,འཇིག་རྟེན་ན་,OUTLIER/
8e7a2e1e2ed749e6bbe9b2f48226ddcf,དེ་ལྟ་བུ་དང་ཕྲད་པ་ལ་,བརྟེན་,བརྟེན་,རྟེན་,བརྟེན་,ནས། །སེམས་ཅན་ཆེན་པོ་,བརྟེན་,OUTLIER/
2d7c35552b24463bba84db1fdecd0a86,ོད་པ། །དེ་ཚེ་དེ་སྲུང,གཞན་མི་,གཞན་མི་,གཞན་པ་,གཞན་མི་,གང་། །བདག་དང་བྱེ་བྲག,གཞན་མི་,OUTLIER/
fd4d8947c97a4fb994bac8c33de9a295,ོར་སྤྱོད་པ་སྐྱེས་ནས་,དེས་,དེས་,དེ་,དེས་,བདག་དང་སེམས་ཅན་གྱི་ཁ,དེས་,OUTLIER/
c38e75e157834d06b9a2212caa3d1b5a,ར་དཀོན་མཆོག་ཏ་ལ་ལའི་,གཟུངས་,གཟུངས་,གཟུངས་,བཟུངས་,ལས། རྒྱལ་དང་རྒྱལ་བའི,གཟུངས་,OUTLIER/
00a1621440bb43f6aad334af416be2ca,ྱལ་བའི་ཆོས་ལ་རབ་དགའ་,སྐྱེད,སྐྱེད,བསྐྱེད,སྐྱེད,། །དད་པ་ཡོན་ཏན་ཡེ་ཤེ,སྐྱེད,OUTLIER/
bf695c25bdac4a44a12f6f0b02b43f47,ལ་ཆགས་པ་མེད། །མི་དལ་,སྤོང་,སྤོང་,སྤངས་,སྤོང་,ཞིང་དལ་བ་མཆོག་ཅིག་ཡི,སྤོང་,OUTLIER/
b246f7c0d97146a891364b61423c48aa,ཅས། །དེ་དག་ཚུལ་ཁྲིམས,བསླབ་པ་,བསླབ་པ་,བསླབས་པ་,བསླབ་པ་,ཡོངས་མི་འདོར། །གང་དག,བསླབ་པ་,OUTLIER/
666a3c74db6a4b0c8287b6301a3a509e,ྡན་དེ་ཡོན་ཏན་ལྡན་པས་,བསྟོད,བསྟོད,སྟོད,བསྟོད,། །གང་དག་རྟག་ཏུ་ཆོས་,བསྟོད,OUTLIER/
97a6ef9e64e249b69d251608a68366b9,ི་རྩ་བ་ཅན་གྱི་ཡོན་ཏན,རྒྱ་ཆེན་པོ་མཐའ་,རྒྱ་ཆེན་པོ་མཐའ་,བརྒྱ་ཆེན་པོ་མཐར་,རྒྱ་ཆེན་པོ་མཐའ་,ཡས་པ་ཞིག་དེར་གསུངས་ཏ,རྒྱ་ཆེན་པོ་མཐའ་,OUTLIER/
144ae07099624afba861338f8b20ebfc,ཆེན་པོ་མཐའ་ཡས་པ་ཞིག་,དེར་,དེར་,དེས་,དེར་,གསུངས་ཏེ། །དེ་རྫོགས་,དེར་,OUTLIER/
e9f95c17dd3a4f11ac125e24a35da034,་བྱང་ཆུབ་ཀྱི་སེམས་ནི,ཡོན་ཏན་,ཡོན་ཏན་,ཡོན་ཅན་,ཡོན་ཏན་,དེ་དག་དང་། ཡོན་ཏན་གྱ,ཡོན་ཏན་,OUTLIER/
5ccd0ef573144026a80a952dcebc05df,ུའི་ལྷག་པའི་བསམ་པ་མ་,འཁྲུགས་,འཁྲུགས་,འཁྲུག་,འཁྲུགས་,བཀའ་སྩལ་པ། རྒྱལ་པོ་ཆ,འཁྲུགས་,OUTLIER/
7295e5520fdf42dc8c1d3900b1eab8ce,་འདས་ཀྱིས་བཀའ་སྩལ་པ།,རྒྱལ་པོ་,རྒྱལ་པོ་,རྒྱལ་པོ་ཆེན་པོ་,རྒྱལ་པོ་,ཆེན་པོ་གང་གི་སེམས་ཅན,རྒྱལ་པོ་,OUTLIER/
fafa6bfbe5a24d6c844805d1175b48dd,ལ་པོ་ཆེན་པོ་འདི་ལྟར་,ཁྱོད་,ཁྱོད་,ཁྱེད་,ཁྱེད་,ནི་བྱ་བ་མང་བྱེད་པ་མང,ཁྱོད་,SIMILAR/
43b66dbcfe8d45aa9284a555c5bafcbc,ྱེ་བོ་ཐམས་ཅད་དང་བདག་,གི་,གི་,གོ་,གི་,འདས་པ་དང་མ་འོངས་པ་དང,གི་,OUTLIER/
8862e7064e0a475cb1ba39624579b910,འདས་པ་དང་། མཚུངས་པའི,བར་གྱིས་,བར་གྱིས་,བར་གྱིས་,བར་གྱི་,རྗེས་སུ་ཡི་རང་བར་གྱི,བར་གྱིས་,OUTLIER/
1f474caedd7c499d87c6b4f8cb2bef4c,ཤིག །རྒྱལ་པོ་ཆེན་པོ་,ཁྱོད་,ཁྱོད་,ཁྱེད་,ཁྱེད་,དེ་ལྟར་ཞུགས་ན་རྒྱལ་ས,ཁྱོད་,SIMILAR/
f30a113bf4924f39a054bfdc43929577,མས་སུ་རིག་པར་བྱའོ། །,ཅ་,ཅི་,ཅི་,ཅི་,སར་མ་ཆུད་པ་ལ་ཡང་བྱང་,ཅ་,OUTLIER/
2fc93e22cfd1474aa743c0696b12e759,་པར། སེར་སྣས་ཡོངས་སུ,དཀྲིས་པ་,དཀྲིས་པ་,བཀྲིས་པ་,དཀྲིས་པ་,ལ་ཡང་བསླབ་པའི་གནས་བཅ,དཀྲིས་པ་,OUTLIER/
3c600b2b277a42b0b673d1d83c44a09a,་སྟེ། ལྷག་མ་གཞན་ལ་མི,སྒྲུབ་པ་,སྒྲུབ་པ་,སྒྲུབ་པ་,བསྒྲུབ་པ་,ཡང་མ་ཡིན་གྱི། ཅི་ནུས,སྒྲུབ་པ་,OUTLIER/
74a4913c61bf4096981033451c35efde,ན་གཤེགས་པའི་སྤྱན་སྔར,བསླབ་པ་,བསླབ་པ་,བསླབ་པ་,བསླབ་,འདིའི་ནང་ནས། བསླབ་པ་,བསླབ་པ་,OUTLIER/
b7ca3234a04745a6b1749e0fe0eec410,དུ་བསྒོམས་ནས། སྡོམ་པ,དང་བདག་,དང་བདག་,དབང་དག་,དང་བདག་,གི་སྟོབས་དང་ཡང་སྦྱར་,དང་བདག་,OUTLIER/
cbd4e132839e4c64af98b5ad6ec234e5,ི་བྱང་ཆུབ་སེམས་དཔའི་,བརྫུན་,བརྫུན་,རྫུན་,རྫུན་,དུ་སྨྲ་བ་ཐ་མ་ཡིན་ནོ་,བརྫུན་,ALTERNATIVE/
0bdb8f884e944abbb386f92a22a42919,རྒལ་བ་བསྒྲལ་བ་དང་། མ,གྲོལ་བ་,གྲོལ་བ་,གྲོལ་བ་,གྲོལ་བ་དང་,དགྲོལ་བ་དང་དབུགས་མ་ཕ,གྲོལ་བ་,OUTLIER/
015f1f7bb4ee4cac9a2a5d85b15475fc,པ་སའི་སྙིང་པོའི་མདོ་,ལས་,ལས་,ལས་,ལ་,ཇི་སྐད་དུ། དགེ་བའི་ལ,ལས་,OUTLIER/
65b81658770d43ba9099b203c0674407,ི་ཤིན་ཏུ་ཚུལ་འཆོས་པ་,བརྫུན་,བརྫུན་,རྫུན་,རྫུན་,ཆེན་པོ་སྨྲ་བ། སངས་རྒ,བརྫུན་,ALTERNATIVE/
a2b427464fa440f1bf4259f8131d958c,ལས་བསྐྱབ་པར་ཁུར་ཁྱེར,བར་སྤྲོ་བ་དེས་ནི་,བར་སྤྲོ་བ་དེས་ནི་,བ་སྤྲོས་པ་དེས་ན་,བར་སྤྲོ་བ་དེས་ནི་,ཕྱག་བྱ་བ་དང་མཆོད་པ་ད,བར་སྤྲོ་བ་དེས་ནི་,OUTLIER/
e3fb85ebe35e4cc897861eb2bf7b71bc,ས་ན་རེ་ཞིག་གཞག་གོ། །,དེ་,དེ་,དེས་,དེ་,ལྟར་སྡོམ་པ་ཡང་དག་པར་,དེ་,OUTLIER/
a3e854f8e0494b7ca64e68f3b73e10fd,ི་ནུས་པར་རིགས་པ་དང་མ,རིགས་པ་,རིགས་པ་,རིགས་པ་དང་,རིགས་པ་,མ་བརྟགས་པར་རྩོམ་པའམ་,རིགས་པ་,OUTLIER/
868336acda0f43739e2af04051503f3c,་པ་གང་ཅུང་ཟད་ལེགས་པར,སྨྲས་པ་,སྨྲས་པ་,སྨྲས་པར་,སྨྲས་པ་,དེ་ཐམས་ཅད་ནི་སངས་རྒྱ,སྨྲས་པ་,OUTLIER/
5d691e57dba94158bc3f7c9a3451851e, སངས་རྒྱས་རེ་རེ་ལ་ཡང,གང་གཱའི་,གང་གཱའི་,གང་གཱའི་,གངྒའི་,ཀླུང་གི་བྱེ་མ་སྙེད་ཀ,གང་གཱའི་,SANSKRIT/OUTLIER/
28552d4567dc49e9911c20cdd7ae1567,་རྣམས་གསུངས་ཏེ། འཕགས,པ་དཀོན་,པ་དཀོན་,དཀོན་,པ་དཀོན་,མཆོག་སྤྲིན་ལས། རིགས་,པ་དཀོན་,OUTLIER/
0d4507e1e4ec4c6486a3ea5d587482ae,་བུ་ཇི་ལྟར་ན་བྱང་ཆུབ,སེམས་དཔའ་,སེམས་དཔའ་,སེམས་དཔའི་,སེམས་དཔའ་,རྣམས་བྱང་ཆུབ་སེམས་དཔ,སེམས་དཔའ་,OUTLIER/
f58faccce18f4c4c831f38afeb8c797a,མས་བྱང་ཆུབ་སེམས་དཔའི,བསླབ་པའི་,བསླབ་པའི་,བསླབས་པའི་,བསླབ་པའི་,སྡོམ་པས་བསྡམས་པ་ཡིན་,བསླབ་པའི་,OUTLIER/
be5a1bb92a9b4dc48fcfbe433bc56e13,བཞིན་གཤེགས་པས་གང་འདི,མདོ་སྡེ་དོ་,མདོ་སྡེ་དོ་,མདོ་སྡེ་,མདོ་སྡེ་དོ་,དང་དེ་དག་ལས་བྱང་ཆུབ་,མདོ་སྡེ་དོ་,OUTLIER/
fa6cec33f66841bfae2795397610c4a8,ྱང་ཆུབ་སེམས་དཔའ་རྣམས,བསྒོམ་པ་,བསྒོམ་པ་,སྒོམ་པ་,བསྒོམ་པ་,གློད་ན་ཡང་ལྟུང་བར་འག,བསྒོམ་པ་,OUTLIER/
58f611d6d02148bbb33b982a3ead3811,་མཚམས་མེད་པ་གང་དག་དང,ལྡན་ན།,ལྡན་ན།,ལྡན་།,ལྡན་ན།, བྱང་ཆུབ་སེམས་དཔའ་མྱ,ལྡན་ན།,OUTLIER/
523dd5ef35054587b20d4dd9e68cff74,ེམས་དཔའ་མྱུར་དུ་བླ་ན,མེད་པ་,མེད་པ་,མེད་པར་,མེད་པ་,ཡང་དག་པར་རྫོགས་པའི་བ,མེད་པ་,OUTLIER/
e011121fd0f943f6890d8e1b3cd09e90,མཚམས་མེད་པ་བཞི་པའོ། ,སྐད་ཅིག་མ་,སྐད་ཅིག་མ་,སྐད་ཅིག་,སྐད་ཅིག་,གཅིག་དང་ལྡན་པའི་ཤེས་,སྐད་ཅིག་མ་,SIMILAR/
88f1d12996e446aabc2c4afc1b7cf92c,འོ། །སྐད་ཅིག་མ་གཅིག་,,,དང་,,ལྡན་པའི་ཤེས་རབ་ཀྱིས་,,OUTLIER/
f1040fdad40e44589f4927009ed61205,་གཏོང་བའི་ཕན་ཡོན་ཡང་,བསྒོམ་,བསྒོམ་,སྒོམ་,བསྒོམ་,མོ། །ཟླ་བ་སྒྲོན་མའི་,བསྒོམ་,OUTLIER/
6391542f6449448595d9ab05b661cdb7,་དཔའ་ཡིན་གྱི་ཐ་དད་དུ,སྤྱོད་པ་,སྤྱོད་པ་,སྤྱོད་པའི་,སྤྱོད་པ་,ནི་མ་ཡིན་པ་སྟེ་སྤྱོ་,སྤྱོད་པ་,OUTLIER/
3c13d2e7ebf04bcb9f49f3e46002d01d,སྐྱེད་པར་བྱའོ། །འདི་,ནི་,ནི་,ནི་,ན་,མི་སྡུག་པ་སྟེ། བདག་ག,ནི་,OUTLIER/
6231942dee8d4cb9a06673074cfc6e1a,་འོངས་ལ། དངོས་པོ་ཞིག,བསླངས་པ་,བསླངས་པ་,བླངས་པ་,བསླངས་པ་,ལས། གལ་ཏེ་དེས་དངོས་པ,བསླངས་པ་,OUTLIER/
9523f31747ce46ffbe23183d41d4f4d7,བྱའོ། །གལ་ཏེ་དེ་ལྟར་,བསམས་,བསམས་,བསམས་,བསམ་,ཀྱང་། དངོས་པོ་དེ་གཏོ,བསམས་,OUTLIER/
b97dd65e438b4136b63510b8d673b6f6,་པོ་དེ་གཏོང་མ་ནུས་ན་,དེས་,དེས་,དེས་,དེ་,སློང་བ་ལ་ཀུན་གོ་བར་བ,དེས་,OUTLIER/
dc8c6780f5d7415f99fb2876d95b6208,ར་གྱུར་པའི་ཉེས་པ་གཞན,སྤང་བའི་,སྤང་བའི་,སྤངས་པའི་,སྤང་བའི་,ཕྱིར་གསུངས་པར་ཟད་ཀྱ,སྤང་བའི་,OUTLIER/
94dd2ab990fd4133ab928b1c486c75da,། ཀྱེ་མའོ་འདི་ནི་ཚུལ,འཆོས་པའོ,འཆོས་པའོ,འཆོས་པའི,འཆོས་པའོ,། །ཀྱེ་མའོ་འདི་ནི་ཁ་,འཆོས་པའོ,OUTLIER/
3b0f606b93094dddb94b2378064e189f,། །ཀྱེ་མའོ་འདི་ནི་ཁ་,གསག་,གསག་,བསག་,བསག་,ཅན་ནོ། །ཀྱེ་མའོ་འདི་,གསག་,SIMILAR/
f4d3dfcfebc3469b8fc3ec29ae42e9ed,རྟེན་གྱི་ཟང་ཟིང་ལྷུར,བྱེད་པའོ,བྱེད་པའོ,བྱེད་པའི,བྱེད་པའོ,། །ཀྱེ་མའོ་འདི་ནི་ཟས,བྱེད་པའོ,OUTLIER/
01c689cc445746d89a5e3290ea1a2f8b,ོ་སོར་རྟོག་ལ་སེམས་ཅན,ལ་བལྟ་,ལ་བལྟ་,ལ་བལྟ་,བལྟ་,བའི་ཕྱིར་ལུས་སྡུག་བས,ལ་བལྟ་,OUTLIER/
bb51ce541d9e4a84bc7c861724416199,ུ་མི་སྐྱེའོ་ཞེས་བསྟན,ཏོ།། །།,ཏོ།། །།,ཏོ།། །།,ཏོ།།,བམ་པོ་གཉིས་པ། བདག་ད,ཏོ།། །།,OUTLIER/
cebe2d8076c944fb83924731d86f7710,ས་ཅན་གྱི་ཁམས་ཐམས་ཅད་,ཀྱི་,ཀྱི་,ནི་,ཀྱི་,རིམ་གྲོ་བྱ་བ་ལ་རབ་ཏུ,ཀྱི་,OUTLIER/
ccdce87018224db9a5d19a16b608e751,སུ་གཏོང་བ་ན། བྱང་ཆུབ,སེམས་དཔའི་,སེམས་དཔའི་,སེམས་དཔའ་,སེམས་དཔའི་,སྤྱོད་པས་ཟིན་ཅིང་དེ་,སེམས་དཔའི་,OUTLIER/
b6b72fdd6517442b91340508fba65e33,་པ་འབྱིན་ཅིང་། ཁྱོད་,ངའི་,ངའི་,དེའི་,ངའི་,ལྕེ་ཁྱེར་ལ་ཇི་ལྟར་ཁྱ,ངའི་,OUTLIER/
239e556721394748a18b5651c1a02cce,་ཡི་མི་ཆད་པར་སྦྱིན་པ,བཏང་བའི་,བཏང་བའི་,གཏང་བའི་,བཏང་བའི་,དངོས་པོ་དག་གིས་ཤིན་ཏ,བཏང་བའི་,OUTLIER/
e8a2f84e28624e21a61e8ee4ae1adb3e,ལ་འཇུག་ཅིང་སྨོན་ལམ་མ,བཏང་བས་,བཏང་བས་,གཏང་བས་,བཏང་བས་,ཡིན་ནོ། །དེ་སློང་བ་ད,བཏང་བས་,OUTLIER/
cfaa80ee70f24bb6bc70e80aa11ce8b8,ད་པའི་ལུས་ལས་ལེགས་པར,བརྟགས་པའི་,བརྟགས་པའི་,བརྟགས་པའི་,བཏགས་པའི་,སྙིང་པོ་ལེན་པའི་སེམས,བརྟགས་པའི་,OUTLIER/
665a30c95ff74c5aae2c66024d8009f6,ེད་འོངས་པའི་ཉོན་མོངས,པར་མི་,པར་མི་,པར་མི་,པར་མ་,འགྱུར་བར་རི་མོར་བྱ་བ,པར་མི་,OUTLIER/
9e2faa7278b2417a96bc90c87358b4c1,་ན་ཞེས་དེས་སྤྱི་བོས་,གཏུགས་,གཏུགས་,གཏུགས་,བཏུགས་,ཏེ་བཟོད་པ་གསོལ་ལོ། །,གཏུགས་,OUTLIER/
9a409a5b4987441b94ddbbb25bfe54d5,ིན་དུ་བརྒྱན་པ་གཟུགས་,བལྟ་,བལྟ་,ལྟ་,བལྟ་,ན་སྡུག་ཅིང་ཚུལ་མཁས་པ,བལྟ་,OUTLIER/
66e8b7a501664fc39ec3193c65661554,ི་ཤིང་རྟ་རིན་པོ་ཆེའི,འཕང་ལོ་,འཕང་ལོ་,ཕང་ལོ་,ཕང་ལོ་,དང་རྩིབས་སྦྱར་བ། རིན,འཕང་ལོ་,ALTERNATIVE/
5066375b14444475bab0de7ca621fd5a,སྣ་ཚོགས་ཀྱིས་ཤིན་ཏུ་,བདུགས་,བདུགས་,བདུགས་,གདུགས་,ཤིང་སྤོས་ཀྱི་སྙིང་པོ,བདུགས་,OUTLIER/
e8807a949730424aa90e3b3a9d4fc089,ཅད་ལ་རིམ་གྲོར་བྱ་བར་,འབུལ་,འབུལ་,དབུལ་,དབུལ་,ལམ། རྒྱལ་སྲིད་ཡོངས་ས,འབུལ་,SIMILAR/
a94b2d554ac144ea83dc0501cf6024ba,པོའི་ཕོ་བྲང་རྒྱན་ཐམས,ཅད་ཀྱིས་,ཅད་ཀྱིས་,ཅད་ཀྱིས་,ཅད་ཀྱི་,རྣམ་པར་སྤུད་པའམ། གཡོ,ཅད་ཀྱིས་,OUTLIER/
dfc8120a8fcd42fd89b2243975340468,ུས་དང་སེམས་ཀྱི་སྟོབས,སྟོན་པ,སྟོན་པ,སྟན་པ,སྟོན་པ,། དགའ་བ་དང་མོས་པ་དང་,སྟོན་པ,OUTLIER/
5d26ca24955c44c58d45460c7a0371f7,།མེ་ཏོག་སྦྱིན་པ་དང་།, སྤོས་, སྤོས་,སྤོན་, སྤོས་,སྦྱིན་པ་དང་། བྱུག་པ་, སྤོས་,OUTLIER/
3f11939dae3b424196932067d1398362,འཕགས་པའི་དགེ་འདུན་ལ་,འབུལ་,འབུལ་,དབུལ་,དབུལ་,ན་སངས་རྒྱས་ཀྱི་ཆོས་ཉ,འབུལ་,SIMILAR/
dfd0117aa3314b9db74196ffd7c1c718,སམ་རང་སངས་རྒྱས་དག་ལ་,འབུལ་,འབུལ་,དབུལ་,དབུལ་,ན། འཕགས་པའི་ཡོན་ཏན་ལ,འབུལ་,SIMILAR/
99772276c9c04dbf812e55ae86840bb5,ི་གནས་དེ་དང་དེ་དག་ལ་,འབུལ་,འབུལ་,དབུལ་,དབུལ་,ན། བླ་མའི་ཚོགས་ཀྱིས་,འབུལ་,SIMILAR/
992dd18e2adb4fb698a75078591e8bb8,། གསེར་གྱིས་གཡོགས་པ།, བལྟ་, བལྟ་,ལྟ་, བལྟ་,ན་སྡུག་པ་དཔག་ཚད་སྟོང, བལྟ་,OUTLIER/
2da05d47571a4e2096a2acc42fc3a171,ྲི་བཟང་པོ་བཻ་ཌཱུརྱའི,རྐང་པ་ཅན,རྐང་པ་ཅན,རང་བཞིན,རྐང་པ་ཅན,།སེང་གེས་བརྟེན་པ་གསེ,རྐང་པ་ཅན,OUTLIER/
796f673a27064b75a90b9374a04b3504,ིག་བརྒྱ་སྟོང་དུ་མའི་,རྒྱན་,རྒྱན་,བརྒྱན་,རྒྱན་,བཀོད་པ།གསེར་གྱི་དྲ་བ,རྒྱན་,OUTLIER/
871004cf48aa48ef88a43f8ac0ad1ea1,བྱེད་པ་དང་། སྦྱིན་པར,བྱེད་པ་,བྱེད་པ་,བྱེད་,བྱེད་པ་,ན། དེ་དགེ་བའི་རྩ་བ་ད,བྱེད་པ་,OUTLIER/
8959d63dcb784e67bc5cf11c34c5aa98,ལོག་པར་གྱུར་ཅིག་ཅེས་,སྨོན་,སྨོན་,སྨི་,སྨོན་,ལམ་འདེབས་སོ། །དགེ་བའ,སྨོན་,OUTLIER/
5d64b4cff3b741a8a3dddf40d5bb5b62,བ་དེ་དག་ཡོངས་སུ་བསྔོ,བ་ན།,བ་ན།,བ་།,བ་ན།, དགེ་བའི་རྩ་བ་དེ་དག་,བ་ན།,OUTLIER/
d8490b330315428f9dfcbadacc0e0192,ྲོལ་བའི་ཕྱིར་སེམས་ཅན,ཐམས་ཅད་,ཐམས་ཅད་,ཐམས་,ཐམས་ཅད་,ཀྱི་སྐྱོབ་པར་གྱུར་ཅི,ཐམས་ཅད་,OUTLIER/
ea0bdb047ae549c799ce18a576316d6b,པའི་ཕྱིར་སེམས་ཅན་ཐམས,ཅད་ཀྱི་,ཅད་ཀྱི་,ཅད་ཀྱིས་,ཅད་ཀྱི་,ཡོངས་སུ་འདྲེན་པར་གྱུ,ཅད་ཀྱི་,OUTLIER/
fee52467431140d39969883c49f6cf32,ད་པ་མེད་པར་གྱུར་ཅིག ,རྟོགས་པ་,རྟོགས་པ་,རྟོགས་པ་,རྟོག་པ་,དང་བློ་གྲོས་དང་། ངེས,རྟོགས་པ་,OUTLIER/
fdb79a91defe44d39e2b57840b21a753,ོའོ། །སེམས་ཅན་ཐམས་ཅད,ཁོར་ཡུག་,ཁོར་ཡུག་,འཁོར་ཡུག་,ཁོར་ཡུག་,གི་རི་ལྟར་བརྫི་བ་མེད,ཁོར་ཡུག་,OUTLIER/
eb97dcdfe1a24680bc674c2da840db9d,དང་མ་བྱོན་པ་དང་ད་ལྟར,བྱུང་བའི་,བྱུང་བའི་,གྱུར་པའི་,བྱུང་བའི་,སངས་རྒྱས་ཐམས་ཅད་ཀྱི་,བྱུང་བའི་,OUTLIER/
b7fd81fed9914dd8b50fd36b07da9cd6,ོ་བ་དང་བྱས་པ་རྗེས་སུ,སྐྱོང་བས་,སྐྱོང་བས་,སྐྱོང་བས་,སྐྱོང་བའི་,དགེ་བའི་བཤེས་གཉེན་མི,སྐྱོང་བས་,OUTLIER/
54207ecda52645638fedbad04156a8be,གཉེན་བསྟེན་པ་ཕུན་སུམ,ཚོགས་པ་,ཚོགས་པ་,ཚོགས་པར་,ཚོགས་པ་,ལ་གནས་པ་སེམས་སུ་འཇུག,ཚོགས་པ་,OUTLIER/
dea9a7337a9c407195f092900e2ac7dc,ན་ལམ་གཅིག་ཏུ་གྱུར་ཏེ,དགེ་བའི་,དགེ་བའི་,དགེ་བའི་རྩ་,དགེ་བའི་,བཤེས་གཉེན་གྱི་དགེ་བའ,དགེ་བའི་,OUTLIER/
c1b498290c2546229d5e1018a1ec958e,་ལ་ཞོན་ཞིང་ཡང་དག་པར་,ཞུགས་,ཞུགས་,བཞུགས་,ཞུགས་,ནས་ཐོགས་པ་མེད་པར་ཐམས,ཞུགས་,OUTLIER/
677c6af67f0741fe8f5f16c143a7324c,ོའི་ཆོས་ཅན་དུ་གྱུར་ལ,སངས་རྒྱས་ཀྱི་ཆོས་ཀྱི་,སངས་རྒྱས་ཀྱི་ཆོས་ཀྱི་,སངས་རྒྱས་ཀྱི་ཆོས་ཀྱི་,སངས་རྒྱས་ཀྱི་,རྒྱུན་ཉམས་པ་མེད་པར་ག,སངས་རྒྱས་ཀྱི་ཆོས་ཀྱི་,OUTLIER/
040ff36cf29749b3892deca43c51ae1b,ོན་དུ་ཕྱོགས་པའི་ལས་ལ,སེམས་པས་,སེམས་པས་,སེམས་པས་,སེམས་དཔས་,བདག་ལ་དགེ་བའི་སེམས་བ,སེམས་པས་,OUTLIER/
89a86ee058a346699b52a6f31e2207f6,་བསྲུང་ངོ་སྙམ་ན་བདག་,བསྲུང་,བསྲུང་,བསྲུངས་,བསྲུང་,བར་བྱའོ། །དེ་བཞིན་དུ,བསྲུང་,OUTLIER/
e7f9773e9eda4c32be9a45cc5f5d7ba1,བག་མེད་པའི་གནས་ལས་ཡང,དག་པར་,དག་པར་,དག་པར་,དག་པའི་,བཟློག་པའོ། །འཁོར་བའི,དག་པར་,OUTLIER/
689e7c1c9ea14e49b1fd3e62374b61f5,པས་དགེ་བའི་བཤེས་གཉེན,རྣམས་ཀྱི་,རྣམས་ཀྱི་,རྣམས་ཀྱིས་,རྣམས་ཀྱི་,དྲུང་དུ་འགྲོ་བར་བྱའོ,རྣམས་ཀྱི་,OUTLIER/
c46c630ae9954637849bd561338272d3,་ལྡན་པའི་ཚིག་བཞི་པའི,ཚིགས་སུ་བཅད་,ཚིགས་སུ་བཅད་,ཚིགས་བཅད་,ཚིགས་སུ་བཅད་,པ་སུ་ལས་མཉན་ཏམ་ལུང་མ,ཚིགས་སུ་བཅད་,OUTLIER/
4e238420a29d457994c803653f31dd7e,་ཇི་སྙེད་ཀྱི་ཚིགས་སུ,བཅད་པ་དེ་,བཅད་པ་དེ་,བཅད་པ་,བཅད་པ་དེ་,བསྟན་པ་དེ་སྙེད་ཀྱི་བ,བཅད་པ་དེ་,OUTLIER/
7bd347572f724c249f64df877bf918f5,དཔོན་དེ་ལ་གཡོ་མེད་པར,རྙེད་པ་,རྙེད་པ་,རྙེད་པ་,བརྙེད་པ་,དང་བཀུར་སྟི་དང་མཆོད་,རྙེད་པ་,OUTLIER/
c550edce379f45ef89ed671caae74f33,གུས་པ་ལྟ་ཅི་སྨོས་ཞེས,གསུངས་སོ།,གསུངས་སོ།,གསུངས་།,གསུངས་སོ།, །ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏ,གསུངས་སོ།,OUTLIER/
7396417d648548faa6abcde8fc0d5d38,ན་པ།བྱང་ཆུབ་སེམས་དཔའ,སེམས་དཔའ་,སེམས་དཔའ་,སེམས་དཔའི་,སེམས་དཔའ་,ཆེན་པོ་རྟག་ཏུ་ངུ་ལ་བ,སེམས་དཔའ་,OUTLIER/
3df510900c98430a8664c8f1f2f56c64,ས་པ། བྲམ་ཟེའི་ཁྱེའུ་,ང་,ང་,དེ་,ང་,ནི་ཆོས་འདོད་པའི་ཕྱིར,ང་,OUTLIER/
d5e6baebe0184f10ad414d87394f0c61,འདོད་ན། ལུས་ཉོ་བ་དེ་,ངས་,ངས་,ངེས་,ངས་,མ་རྙེད་ནས་དེ་ལ་ང་འདི,ངས་,OUTLIER/
2af8efb0192c42f7b34b99515b7a1c0e,་དཔའ་སེམས་དཔའ་ཆེན་པོ,རྟག་ཏུ་ངུ་,རྟག་ཏུ་ངུ་,རྟག་ཏུ་,རྟག་ཏུ་ངུ་,ལ་འདི་སྐད་ཅེས་སྨྲས་ས,རྟག་ཏུ་ངུ་,OUTLIER/
